,date,fishname,results,min,max
0,2021-03-14,アジ,73,17.0,25.0
1,2021-03-14,アナゴ,1,40.0,40.0
2,2021-03-14,イシモチ,4,25.0,30.0
3,2021-03-14,ウミタナゴ,11,20.0,26.0
4,2021-03-14,カレイ,3,22.0,35.0
5,2021-03-14,クロダイ,5,38.0,45.0
6,2021-03-14,コノシロ,52,20.0,30.0
7,2021-03-14,サッパ,2,12.0,12.0
8,2021-03-14,シコイワシ,340,10.0,20.0
9,2021-03-14,シロギス,3,15.0,23.0
10,2021-03-14,フッコ,8,40.0,54.0
11,2021-03-14,ソイ,2,16.0,16.0
12,2021-03-14,タコ,1,0.5,0.5
13,2021-03-14,フグ,5,20.0,25.0
14,2021-03-14,メジナ,6,25.0,30.0
15,2021-03-14,メバル,16,16.0,23.0
16,2021-03-14,カサゴ,20,16.0,22.0
17,2021-03-15,アジ,62,18.0,25.0
18,2021-03-15,イシモチ,4,20.0,30.0
19,2021-03-15,ウミタナゴ,4,15.0,20.0
20,2021-03-15,カサゴ,17,16.0,25.0
21,2021-03-15,カタボシイワシ,1,20.0,20.0
22,2021-03-15,クロダイ,9,40.0,50.0
23,2021-03-15,コノシロ,39,25.0,30.0
24,2021-03-15,シコイワシ,1,10.0,10.0
25,2021-03-15,フッコ,5,40.0,50.0
26,2021-03-15,ソイ,2,18.0,20.0
27,2021-03-15,ハゼ,2,10.0,10.0
28,2021-03-15,フグ,2,20.0,30.0
29,2021-03-15,メジナ,1,30.0,30.0
30,2021-03-15,メバル,2,20.0,25.0
31,2021-03-16,アジ,62,18.0,25.0
32,2021-03-16,イシモチ,4,20.0,30.0
33,2021-03-16,ウミタナゴ,4,15.0,20.0
34,2021-03-16,カサゴ,17,16.0,25.0
35,2021-03-16,カタボシイワシ,1,20.0,20.0
36,2021-03-16,クロダイ,9,40.0,50.0
37,2021-03-16,コノシロ,39,25.0,30.0
38,2021-03-16,シコイワシ,1,10.0,10.0
39,2021-03-16,フッコ,5,40.0,50.0
40,2021-03-16,ソイ,2,18.0,20.0
41,2021-03-16,ハゼ,2,10.0,10.0
42,2021-03-16,フグ,2,20.0,30.0
43,2021-03-16,メジナ,1,30.0,30.0
44,2021-03-16,メバル,2,20.0,25.0
45,2021-03-18,アジ,328,15.0,27.0
46,2021-03-18,イシモチ,4,25.0,27.0
47,2021-03-18,ウミタナゴ,3,18.0,25.0
48,2021-03-18,カサゴ,11,16.0,20.0
49,2021-03-18,クロダイ,10,35.0,45.0
50,2021-03-18,コノシロ,236,25.0,30.0
51,2021-03-18,サバ,4,25.0,30.0
52,2021-03-18,シコイワシ,189,10.0,12.0
53,2021-03-18,スズキ,3,60.0,64.0
54,2021-03-18,フッコ,3,45.0,48.0
55,2021-03-18,セイゴ,2,30.0,35.0
56,2021-03-18,ソイ,1,20.0,20.0
57,2021-03-18,タコ,1,1.56,1.56
58,2021-03-18,ハゼ,5,10.0,12.0
59,2021-03-18,フグ,1,30.0,30.0
60,2021-03-18,メジナ,4,30.0,33.0
61,2021-03-18,メバル,13,20.0,23.0
62,2021-03-19,アジ,101,17.0,25.0
63,2021-03-19,イシモチ,4,22.0,25.0
64,2021-03-19,カサゴ,42,16.0,25.0
65,2021-03-19,カレイ,1,30.0,30.0
66,2021-03-19,クロダイ,9,30.0,43.0
67,2021-03-19,コノシロ,438,25.0,26.0
68,2021-03-19,シコイワシ,537,10.0,20.0
69,2021-03-19,シロギス,1,20.0,20.0
70,2021-03-19,フッコ,5,40.0,50.0
71,2021-03-19,ハゼ,9,10.0,11.0
72,2021-03-19,フグ,5,20.0,30.0
73,2021-03-19,メジナ,1,30.0,30.0
74,2021-03-19,メバル,16,17.0,25.0
75,2021-03-20,アジ,134,18.0,25.0
76,2021-03-20,イシモチ,2,24.0,25.0
77,2021-03-20,ウミタナゴ,2,19.0,20.0
78,2021-03-20,カサゴ,33,16.0,22.0
79,2021-03-20,カレイ,2,34.0,35.0
80,2021-03-20,クロダイ,8,38.0,47.0
81,2021-03-20,コノシロ,529,20.0,30.0
82,2021-03-20,サバ,1,30.0,30.0
83,2021-03-20,シコイワシ,1908,10.0,20.0
84,2021-03-20,タコ,1,1.0,1.0
85,2021-03-20,ハゼ,1,7.0,7.0
86,2021-03-20,フグ,6,20.0,25.0
87,2021-03-20,メジナ,15,25.0,32.0
88,2021-03-20,メバル,19,18.0,26.0
89,2021-03-21,アジ,17,18.0,23.0
90,2021-03-21,カサゴ,2,16.0,20.0
91,2021-03-21,クロダイ,3,40.0,45.0
92,2021-03-21,コノシロ,28,20.0,30.0
93,2021-03-21,シコイワシ,336,10.0,15.0
94,2021-03-21,フッコ,3,50.0,58.0
95,2021-03-21,マゴチ,1,43.0,43.0
96,2021-03-21,フグ,2,30.0,35.0
97,2021-03-21,メバル,2,20.0,20.0
98,2021-03-22,アジ,189,18.0,26.0
99,2021-03-22,イシモチ,3,20.0,25.0
100,2021-03-22,ウミタナゴ,1,18.0,18.0
101,2021-03-22,カサゴ,2,18.0,20.0
102,2021-03-22,カレイ,1,32.0,32.0
103,2021-03-22,クロダイ,6,30.0,44.0
104,2021-03-22,コノシロ,149,20.0,30.0
105,2021-03-22,サッパ,7,15.0,16.0
106,2021-03-22,サバ,3,22.0,30.0
107,2021-03-22,シコイワシ,815,10.0,12.0
108,2021-03-22,マダイ,1,25.0,25.0
109,2021-03-22,フグ,3,20.0,22.0
110,2021-03-22,メバル,7,17.0,20.0
111,2021-03-23,アジ,332,15.0,23.0
112,2021-03-23,イシモチ,3,23.0,32.0
113,2021-03-23,イワシ,2909,12.0,20.0
114,2021-03-23,ウミタナゴ,3,13.0,20.0
115,2021-03-23,カサゴ,23,16.0,20.0
116,2021-03-23,クロダイ,6,30.0,44.0
117,2021-03-23,サバ,1,25.0,25.0
118,2021-03-23,シロギス,3,15.0,20.0
119,2021-03-23,スズキ,1,61.0,61.0
120,2021-03-23,フッコ,4,40.0,55.0
121,2021-03-23,ハゼ,1,10.0,10.0
122,2021-03-23,メバル,15,16.0,20.0
123,2021-03-23,コノシロ,99,20.0,25.0
124,2021-03-23,サッパ,8,15.0,16.0
125,2021-03-24,アジ,58,20.0,24.0
126,2021-03-24,アナゴ,1,30.0,30.0
127,2021-03-24,イシモチ,1,21.0,21.0
128,2021-03-24,イワシ,9999,10.0,12.0
129,2021-03-24,ウミタナゴ,4,20.0,25.0
130,2021-03-24,カサゴ,16,18.0,25.0
131,2021-03-24,クロダイ,10,34.0,47.0
132,2021-03-24,コノシロ,98,20.0,30.0
133,2021-03-24,サッパ,15,10.0,12.0
134,2021-03-24,シロギス,1,17.0,17.0
135,2021-03-24,スズキ,3,60.0,65.0
136,2021-03-24,フッコ,6,40.0,55.0
137,2021-03-24,セイゴ,1,30.0,30.0
138,2021-03-24,ソイ,2,20.0,20.0
139,2021-03-24,タコ,1,1.0,1.0
140,2021-03-24,ヒラメ,1,27.0,27.0
141,2021-03-24,フグ,3,20.0,30.0
142,2021-03-24,メジナ,3,20.0,30.0
143,2021-03-24,メバル,4,18.0,22.0
144,2021-03-25,アジ,83,15.0,27.0
145,2021-03-25,アナゴ,1,40.0,40.0
146,2021-03-25,イシモチ,2,25.0,26.0
147,2021-03-25,イワシ,6672,10.0,16.0
148,2021-03-25,ウミタナゴ,4,20.0,22.0
149,2021-03-25,カサゴ,5,16.0,20.0
150,2021-03-25,クロダイ,9,34.0,48.0
151,2021-03-25,コノシロ,104,25.0,35.0
152,2021-03-25,フッコ,2,45.0,56.0
153,2021-03-25,セイゴ,1,35.0,35.0
154,2021-03-25,ハゼ,2,12.0,12.0
155,2021-03-25,フグ,1,30.0,30.0
156,2021-03-25,メジナ,11,26.0,33.0
157,2021-03-25,メバル,3,16.0,20.0
158,2021-03-25,ヒラメ,1,30.0,30.0
159,2021-03-26,アジ,101,15.0,23.0
160,2021-03-26,イシモチ,1,21.0,21.0
161,2021-03-26,ウミタナゴ,1,20.0,20.0
162,2021-03-26,カサゴ,11,16.0,20.0
163,2021-03-26,シコイワシ,9601,8.0,12.0
164,2021-03-26,コブダイ,1,67.0,67.0
165,2021-03-26,ヒラメ,1,37.0,37.0
166,2021-03-26,シリヤケイカ,1,0.6,0.6
167,2021-03-26,スズキ,1,60.0,60.0
168,2021-03-26,フッコ,1,52.0,52.0
169,2021-03-26,ソイ,5,18.0,22.0
170,2021-03-26,ハゼ,6,6.0,6.0
171,2021-03-26,フグ,6,18.0,45.0
172,2021-03-26,メジナ,7,25.0,30.0
173,2021-03-26,メバル,4,18.0,22.0
174,2021-03-26,コノシロ,379,26.0,28.0
175,2021-03-27,アジ,71,15.0,23.0
176,2021-03-27,ウミタナゴ,3,18.0,20.0
177,2021-03-27,カサゴ,19,16.0,20.0
178,2021-03-27,クロダイ,2,42.0,48.0
179,2021-03-27,コノシロ,390,20.0,28.0
180,2021-03-27,シコイワシ,9999,8.0,12.0
181,2021-03-27,シリヤケイカ,1,0.6,0.6
182,2021-03-27,シロギス,2,20.0,22.0
183,2021-03-27,スズキ,1,71.0,71.0
184,2021-03-27,タコ,1,1.0,1.0
185,2021-03-27,ヒラメ,1,25.0,25.0
186,2021-03-27,フグ,4,15.0,32.0
187,2021-03-27,メジナ,15,18.0,32.0
188,2021-03-27,メバル,13,18.0,23.0
189,2021-03-28,アジ,12,15.0,22.0
190,2021-03-28,カサゴ,10,16.0,20.0
191,2021-03-28,ウミタナゴ,1,25.0,25.0
192,2021-03-28,ギンポ,1,15.0,15.0
193,2021-03-28,クロダイ,1,40.0,40.0
194,2021-03-28,コノシロ,118,20.0,30.0
195,2021-03-28,サバ,1,30.0,30.0
196,2021-03-28,シコイワシ,283,10.0,12.0
197,2021-03-28,シロギス,1,20.0,20.0
198,2021-03-28,フグ,3,20.0,25.0
199,2021-03-28,メジナ,16,20.0,30.0
200,2021-03-28,メバル,7,16.0,20.0
201,2021-03-29,アジ,42,13.0,17.0
202,2021-03-29,シリヤケイカ,1,0.6,0.6
203,2021-03-29,ウミタナゴ,3,15.0,18.0
204,2021-03-29,カサゴ,17,16.0,22.0
205,2021-03-29,クロダイ,2,43.0,45.0
206,2021-03-29,シコイワシ,1079,10.0,12.0
207,2021-03-29,コノシロ,146,25.0,30.0
208,2021-03-29,メゴチ,2,12.0,15.0
209,2021-03-29,ヒラメ,1,40.0,40.0
210,2021-03-29,ギンポ,2,20.0,20.0
211,2021-03-29,シロギス,1,20.0,20.0
212,2021-03-29,フッコ,1,50.0,50.0
213,2021-03-29,フグ,2,20.0,20.0
214,2021-03-29,メジナ,1,20.0,20.0
215,2021-03-29,メバル,2,16.0,20.0
216,2021-03-30,アジ,192,15.0,20.0
217,2021-03-30,イカ,2,0.4,0.5
218,2021-03-30,イシモチ,6,20.0,28.0
219,2021-03-30,ウミタナゴ,2,17.0,23.0
220,2021-03-30,カサゴ,16,16.0,20.0
221,2021-03-30,クロダイ,5,34.0,48.0
222,2021-03-30,コノシロ,193,25.0,30.0
223,2021-03-30,シコイワシ,1007,10.0,12.0
224,2021-03-30,シロギス,2,17.0,20.0
